File Name,Total Number Of Sentences,Average Sentence Length,Average Word Length,Number of Uncommon Words,Number of Unique Words,Words with 1 to 3 syllables,Words with 4 syllables,Words with 5 syllables,Words with 6 syllables,Words with more than 7 syllables,Average number of syllables,'',CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,Class
TheBrothersKaramazov.txt,19598,8.055515869,5.900058275,157872,11850,7789,1270,292,50,2449,1.832934276,0,5,17,5,0,36,81,2535,51,67,7,3473,12,1,1459,0,3,0,844,17,2,7,0,1,0,350,850,1010,474,283,248,7,2,1,2,3
Stories Ballads Children.txt,1075,9.379534884,5.115144302,10083,2048,1070,20,0,0,958,1.442328672,0,1,10,2,0,5,25,363,14,22,6,637,2,0,246,0,5,1,122,5,0,2,0,0,1,86,220,96,86,55,35,0,0,1,0,1
Native Life South Africa.txt,4869,13.63072499,6.337949012,66368,10832,7091,1262,303,34,2142,2.018668635,1,3,18,4,0,26,85,2205,19,55,8,3353,24,0,1592,0,1,3,561,19,1,6,0,1,0,276,785,747,363,450,213,3,4,1,4,2
Description New South Wales.txt,2748,17.81841339,6.805534566,48965,8080,5108,1103,291,27,1551,2.194894312,0,5,12,2,0,7,66,1572,24,44,8,2449,4,0,1277,0,2,1,396,13,1,2,0,0,0,275,556,539,279,361,180,2,0,1,2,2
Missionary Travels Researches South Africa.txt,11390,12.60166813,6.066381947,143533,14544,9645,1644,390,42,2823,1.892484655,0,10,20,6,0,24,94,2942,44,69,8,4500,11,0,2246,0,3,0,728,24,0,11,0,1,1,304,967,1082,477,629,337,2,1,1,1,3
CrimeAndPunishment.txt,11942,7.732289399,5.971647949,92339,9257,6033,945,223,37,2019,1.854124476,0,4,14,2,0,13,72,1936,38,45,7,2722,4,0,1047,0,2,1,709,18,1,6,0,0,0,257,690,833,395,259,175,2,2,1,2,3
Story of my Life.txt,12422,12.00619868,6.561589368,149141,12775,8282,1742,473,72,2206,2.096532811,0,2,17,4,0,29,99,2615,36,69,8,4028,33,0,1749,0,2,1,719,16,2,5,0,0,1,284,872,919,433,501,321,4,2,1,3,3
KingHenryIVTheSecondPart.txt,2765,5.285352622,5.409401943,14614,3835,2273,133,19,2,1408,1.553920898,0,5,10,2,0,2,46,709,17,42,8,1411,1,0,517,0,2,0,182,10,0,4,0,0,0,134,196,167,110,173,85,0,0,1,1,3
WarAndPeace.txt,26430,10.62024215,5.857477743,280693,17291,11221,1814,480,68,3708,1.800504466,0,8,19,7,0,67,107,3456,65,83,10,5203,44,1,2471,0,4,3,1091,23,1,12,0,1,1,318,1314,1478,589,577,330,3,2,1,2,3
TheBible.txt,29810,12.57440456,5.350938926,374843,12437,9101,979,134,9,2214,1.607742442,0,19,29,26,0,22,160,2201,45,214,8,4304,34,0,1677,0,4,3,496,12,1,8,0,0,1,374,794,588,349,713,342,2,8,1,2,3
Black Man South Africa.txt,705,20.20283688,6.497016078,14243,4102,2561,527,147,17,850,2.113810293,0,1,8,3,0,8,32,930,15,15,6,1253,0,0,595,0,2,0,242,4,0,1,0,0,0,106,250,206,156,184,81,2,0,1,1,2
PoftheO.txt,6038,6.588771116,5.768519217,39783,6336,4120,504,109,14,1589,1.744061534,1,3,11,6,0,21,45,1285,26,33,8,1886,19,0,821,0,2,0,405,10,1,5,0,0,0,141,526,500,288,188,99,2,0,1,3,2
Philip Steele.txt,2714,8.809874724,5.569468841,23910,4494,2779,243,44,7,1421,1.636051861,0,3,11,2,0,2,40,872,29,30,8,1420,9,0,403,0,2,0,297,10,0,5,0,0,0,102,453,384,225,110,70,1,2,1,3,2
The Scarlet Letter.txt,3495,11.89899857,6.174309279,41587,8339,5379,928,248,30,1754,1.896169476,0,6,12,4,0,4,53,1830,30,84,7,2519,10,0,959,0,3,1,552,16,0,3,0,0,0,256,674,575,360,225,150,0,2,1,3,3
ParadiseLost.txt,1600,29.681875,5.411951738,47491,9645,6293,472,51,1,2828,1.527278853,0,5,11,4,0,12,104,2341,30,109,10,3369,4,0,1215,0,4,1,395,15,0,6,0,0,0,250,323,569,117,525,210,4,6,1,5,3
Interesting Narrative Life African.txt,2530,14.47351779,5.901988093,36618,6484,4234,539,98,3,1610,1.811267683,0,4,11,4,0,5,55,1240,24,32,7,1928,12,0,979,0,1,1,356,14,1,4,0,0,1,175,542,424,311,220,129,2,0,1,1,3
SleepingBeauty.txt,497,10.81488934,5.741209302,5375,2073,1197,66,7,2,801,1.650232558,0,2,11,2,0,1,23,395,10,15,6,596,3,0,297,0,1,0,125,3,1,2,0,0,0,61,188,124,89,88,28,1,0,1,0,1
THE FROG-PRINCE.txt,25,20.28,5.082840237,507,260,107,3,0,0,150,1.396449704,0,0,3,0,0,0,4,58,0,0,5,77,1,0,16,0,1,0,25,0,0,1,0,0,0,10,27,12,16,3,1,0,0,0,0,1
3 Men Boat.txt,2928,10.69569672,5.52230418,31317,6444,4060,399,84,12,1889,1.629210972,0,4,18,3,0,3,53,1326,33,34,8,1886,8,0,879,0,1,0,369,9,0,3,0,0,0,178,510,487,258,220,147,2,1,1,3,2
Around World 80 Days.txt,3654,8.867542419,6.074408987,32402,6621,4345,598,108,6,1564,1.873927535,0,1,12,3,0,3,47,1222,22,34,7,1926,23,0,1014,0,3,0,420,7,0,5,0,0,0,173,586,458,313,220,117,0,3,1,1,2
